(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0, 0, 0, 0]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.003, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.038000000000000006, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.04000000000000001, -0.014999999999999993, 0, 0]
(1, 0.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.03200000000000001, 0, 0, 0]
(1, 0.0, 2, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0);[-0.052000000000000005, 0, 0, 0]
(1, 1.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0);[-0.030999999999999986, 0, 0, 0]
(0, 0.0, 2, 0, 2, 0, 3, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0);[-0.010000000000000009, 0, 0, 0]
(0, 0.0, 1, 1, 2, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.053000000000000026, 0, 0, 0]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.05999999999999997, -0.03200000000000003, 0, 0]
(1, 0.0, 2, 1, 2, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.05999999999999997, 0, 0, 0]
(1, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0);[-0.071, 0, 0, 0]
(1, 1.0, 3, 0, 3, 1, 3, 0, 3, 1, 1, 0, 2, 0, 1, 0, 2, 0);[-0.052000000000000046, 0, 0, 0]
(0, 0.0, 2, 0, 3, 1, 2, 0, 3, 1, 0, 0, 2, 0, 0, 0, 2, 0);[-0.020000000000000018, 0, 0, 0]
(0, 0.0, 2, 1, 3, 1, 2, 1, 3, 1, 0, 0, 2, 0, 0, 0, 2, 0);[-0.08299999999999992, 0, 0, 0]
(0, 1.0, 1, 1, 3, 1, 1, 1, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.09000000000000004, -0.06500000000000004, 0, 0]
(1, 0.0, 1, 1, 3, 1, 1, 1, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.08399999999999999, 0, 0, 0]
(1, 0.0, 2, 0, 3, 1, 2, 0, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[0, -0.09299999999999997, 0, 0]
(1, 1.0, 2, 0, 4, 1, 2, 0, 4, 1, 1, 0, 3, 1, 1, 0, 3, 1);[-0.07599999999999998, 0, 0, 0]
(0, 0.0, 2, 0, 4, 1, 2, 0, 4, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.06600000000000002, 0, 0, 0]
