(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0, 0, 0, 0]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.008, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.037, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.041, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0);[-0.047000000000000014, 0, 0, 0]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0);[0, -0.0040000000000000036, 0, 0]
(1, 0.0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.028999999999999984, 0, 0, 0]
(1, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0);[-0.052000000000000025, 0, 0, 0]
(1, 1.0, 3, 0, 2, 0, 3, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0);[-0.03599999999999999, 0, 0, 0]
(0, 0.0, 2, 1, 2, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-0.025, 0, 0, 0]
(0, 0.0, 2, 1, 2, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.052000000000000005, 0, 0, 0]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[-0.06499999999999999, 0, 0, 0]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1, 2, 0);[-0.07000000000000002, -0.016999999999999994, 0, 0]
(1, 0.0, 2, 1, 3, 1, 2, 1, 3, 1, 0, 0, 2, 0, 0, 0, 2, 0);[-0.03600000000000003, 0, 0, 0]
(1, 0.0, 2, 0, 3, 1, 2, 0, 3, 1, 1, 0, 2, 0, 1, 0, 2, 0);[-0.07299999999999995, 0, 0, 0]
(1, 1.0, 3, 0, 3, 1, 3, 1, 3, 1, 1, 0, 2, 0, 1, 0, 2, 0);[-0.07800000000000003, 0, 0, 0]
(0, 0.0, 2, 0, 3, 1, 2, 1, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.05899999999999999, -0.08500000000000006, 0, 0]
(0, 1.0, 1, 1, 3, 1, 1, 1, 3, 1, 0, 0, 3, 1, 0, 1, 3, 1);[-0.09499999999999993, -0.062000000000000104, 0, 0]
(1, 0.0, 1, 1, 4, 1, 1, 1, 4, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.07500000000000001, 0, 0, 0]
(1, 0.0, 2, 0, 4, 1, 1, 0, 4, 1, 0, 0, 3, 1, 0, 0, 3, 1);[-0.09399999999999996, 0, 0, 0]
(1, 1.0, 2, 0, 4, 1, 2, 0, 4, 1, 1, 0, 4, 1, 0, 0, 4, 1);[-0.09800000000000005, 0, 0, 0]
(0, 0.0, 2, 0, 4, 1, 2, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.08799999999999991, 0, 0, 0]
(0, 0.0, 1, 0, 4, 1, 1, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.10299999999999994, 0, 0, 0]
(0, 1.0, 1, 1, 4, 1, 1, 1, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.11000000000000015, -0.0870000000000001, 0, 0]
(1, 0.0, 1, 1, 4, 1, 1, 1, 4, 1, 0, 0, 4, 1, 0, 0, 4, 1);[-0.10599999999999987, 0, 0, 0]
(1, 0.0, 2, 0, 5, 1, 2, 0, 5, 1, 1, 0, 4, 1, 0, 0, 4, 1);[-0.1210000000000001, 0, 0, 0]
(1, 1.0, 2, 0, 5, 1, 2, 0, 5, 1, 1, 0, 4, 1, 1, 0, 4, 1);[-0.11999999999999994, 0, 0, 0]
(0, 0.0, 2, 0, 5, 1, 2, 0, 5, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.10899999999999999, 0, 0, 0]
(0, 0.0, 1, 0, 5, 1, 1, 0, 5, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.13200000000000003, 0, 0, 0]
(0, 1.0, 1, 1, 5, 1, 1, 1, 5, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.1379999999999999, -0.11999999999999994, 0, 0]
(1, 0.0, 2, 0, 5, 1, 1, 0, 5, 1, 0, 0, 5, 1, 0, 0, 5, 1);[-0.14400000000000013, 0, 0, 0]
(1, 0.0, 2, 0, 6, 1, 1, 0, 6, 1, 1, 0, 5, 1, 0, 0, 5, 1);[-0.15100000000000016, 0, 0, 0]
(1, 1.0, 3, 0, 6, 1, 2, 0, 6, 1, 1, 0, 5, 1, 0, 0, 5, 1);[-0.14899999999999985, 0, 0, 0]
(0, 0.0, 2, 0, 6, 1, 2, 1, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.13099999999999987, 0, 0, 0]
(0, 0.0, 2, 0, 6, 1, 1, 1, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.15000000000000002, 0, 0, 0]
(0, 1.0, 1, 1, 6, 1, 1, 1, 6, 1, 0, 0, 6, 1, 0, 0, 6, 1);[-0.16400000000000006, 0, 0, 0]
(0, 1.0, 1, 1, 6, 1, 1, 1, 6, 1, 0, 0, 6, 1, 0, 1, 6, 1);[-0.16499999999999987, -0.12600000000000053, 0, 0]
(1, 0.0, 1, 1, 7, 2, 2, 1, 7, 2, 0, 0, 6, 1, 0, 0, 6, 1);[-0.1509999999999998, 0, 0, 0]
(1, 0.0, 1, 0, 7, 2, 2, 0, 7, 2, 0, 0, 6, 1, 1, 0, 6, 1);[-0.19200000000000017, 0, 0, 0]
(1, 1.0, 2, 0, 7, 2, 3, 0, 7, 2, 0, 0, 7, 2, 1, 0, 7, 2);[-0.1729999999999997, 0, 0, 0]
(0, 0.0, 2, 0, 7, 2, 2, 0, 7, 2, 0, 0, 7, 2, 0, 0, 7, 2);[-0.16199999999999976, -0.18400000000000036, 0, 0]
(0, 1.0, 1, 1, 7, 2, 1, 1, 7, 2, 0, 0, 7, 2, 0, 0, 7, 2);[-0.18999999999999986, -0.16499999999999987, 0, 0]
(1, 0.0, 1, 1, 8, 2, 1, 1, 8, 2, 0, 0, 7, 2, 0, 0, 7, 2);[-0.18200000000000005, 0, 0, 0]
