(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[4.95, 0, 0, 0]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.95, 49.942, 50, 50]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.915, 50, 50, 50]
(0, 1.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.91, 49.94, 50, 50]
(1, 0.0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.922, 50, 50, 50]
(1, 0.0, 2, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.905, 50, 50, 50]
(1, 1.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0);[49.924, 50, 50, 50]
(0, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.927, 50, 50, 50]
(0, 0.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0);[49.891, 50, 50, 50]
(0, 1.0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.89, 49.916, 50, 50]
(1, 0.0, 2, 1, 2, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.894, 50, 50, 50]
(1, 0.0, 2, 0, 2, 0, 2, 0, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0);[49.879, 50, 50, 50]
(1, 1.0, 3, 0, 3, 1, 3, 0, 3, 1, 1, 0, 2, 0, 1, 0, 2, 0);[49.898, 50, 50, 50]
(0, 0.0, 2, 0, 3, 1, 2, 0, 3, 1, 0, 0, 2, 0, 0, 0, 2, 0);[49.919, 50, 50, 50]
(0, 0.0, 2, 1, 3, 1, 2, 1, 3, 1, 0, 0, 2, 1, 0, 0, 2, 1);[49.868, 50, 50, 50]
(0, 1.0, 1, 1, 3, 1, 1, 1, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[49.86, 50, 50, 50]
(0, 1.0, 1, 1, 3, 1, 2, 1, 3, 1, 0, 0, 3, 1, 0, 0, 3, 1);[49.855, 50, 50, 50]
(0, 1.0, 1, 1, 3, 1, 1, 1, 3, 1, 0, 1, 3, 1, 0, 1, 3, 1);[49.85, 50, 50, 50]
