step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.997422064777,0,0.0,0.8676444156215921,0,0.0
10.0,0,0.0,0.0,12.23208213975323,0,0.0,0.8866008967787312,0,0.0
15.0,5,6.0,0.3333333333333333,6.770733044865934,5,6.0,0.429396350511089,5,6.0
20.0,8,43.0,2.388888888888889,6.737646818461428,8,43.0,0.397550912285807,8,43.0
25.0,10,85.0,3.8636363636363638,6.697047883616786,10,85.0,0.45073129287524805,10,85.0
30.0,10,135.0,6.75,6.136845274251148,10,135.0,0.3598808219152939,10,135.0
35.0,10,185.0,7.708333333333333,6.6071915050329615,10,185.0,0.2862206311247892,10,185.0
40.0,12,239.0,8.535714285714286,7.04249198778182,12,239.0,0.41570210881065195,12,239.0
45.0,12,299.0,11.074074074074074,5.898377430732949,12,299.0,0.3922850115848919,12,299.0
50.0,17,367.0,13.107142857142858,4.430540963541158,17,367.0,0.23151710470030895,17,367.0
55.0,18,457.0,14.28125,5.250044069933246,18,457.0,0.2971050052625267,18,457.0
60.0,20,549.0,19.607142857142858,3.649211994390016,20,549.0,0.1605837119737367,20,549.0
65.0,20,649.0,19.08823529411765,5.206423767926678,20,649.0,0.25811608664963165,20,649.0
70.0,20,749.0,24.161290322580644,3.927533723880312,20,749.0,0.15749354469022375,20,749.0
75.0,22,857.0,20.902439024390244,5.867015501344969,22,857.0,0.32017220542892394,22,857.0
80.0,22,967.0,25.44736842105263,5.238562358649895,22,967.0,0.2904610315144938,22,967.0
85.0,27,1088.0,25.904761904761905,4.0100513964668325,27,1088.0,0.176651182257481,27,1088.0
90.0,30,1234.0,30.85,3.439292062489322,30,1234.0,0.1478608321866319,30,1234.0
95.0,31,1386.0,32.23255813953488,3.4577478810177804,31,1386.0,0.13329887117012001,31,1386.0
100.0,32,1546.0,36.80952380952381,3.3581038196285595,32,1546.0,0.14567706521063511,32,1546.0
105.0,32,1706.0,39.674418604651166,2.9115853409387147,32,1706.0,0.1409122932747086,32,1706.0
110.0,34,1872.0,39.0,3.9232236333786994,34,1872.0,0.2102306547863998,34,1872.0
115.0,34,2042.0,40.84,3.992365694697836,34,2042.0,0.18670421801846251,34,2042.0
120.0,38,2220.0,46.25,2.2994704910549473,38,2220.0,0.0834786125625025,38,2220.0
125.0,40,2419.0,47.431372549019606,2.806080381081926,40,2419.0,0.13629302889357223,40,2419.0
130.0,42,2621.0,52.42,2.0829533344352225,42,2621.0,0.07653334477947035,42,2621.0
135.0,42,2831.0,52.425925925925924,2.8865071773263793,42,2831.0,0.1321083631328261,42,2831.0
140.0,42,3041.0,58.48076923076923,2.0403465757568227,42,3041.0,0.07751716953341513,42,3041.0
145.0,44,3261.0,56.224137931034484,3.2692393259823755,44,3261.0,0.1767269439135338,44,3261.0
150.0,44,3481.0,57.0655737704918,3.044892985062129,44,3481.0,0.15554360352819852,44,3481.0
155.0,48,3713.0,61.88333333333333,1.9983143981907323,48,3713.0,0.09003348832844336,48,3713.0
160.0,52,3967.0,63.983870967741936,1.9427220030017203,52,3967.0,0.08520164279856933,52,3967.0
165.0,54,4232.0,68.25806451612904,1.71205983174919,54,4232.0,0.0641283783218156,54,4232.0
170.0,54,4502.0,68.21212121212122,2.4400630281821405,54,4502.0,0.0943024895705268,54,4502.0
175.0,56,4774.0,74.59375,1.7575773790821,56,4774.0,0.0483441500866042,56,4774.0
180.0,56,5054.0,78.96875,1.5847937318717158,56,5054.0,0.054881484590415884,56,5054.0
185.0,56,5334.0,77.30434782608695,1.9083647819190535,56,5334.0,0.10094933045309504,56,5334.0
190.0,60,5628.0,80.4,1.257058632894746,60,5628.0,0.056065047342501596,60,5628.0
