step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,4.979296949598939,2,0,0.0,0.16285127309286507,0,0.0,1.0,0,0.0,1.0,0,0.0,0.680603170342813,0,0.0
10.0,1,0.0,0.0,7.326500912554601,4,0,0.0,0.9384431094820432,0,0.0,1.0,0,0.0,1.0,1,0.0,0.45147775796484707,1,0.0
15.0,0,0.0,0.0,9.938377078341883,5,0,0.0,0.9239092056077202,0,0.0,0.3253083005429651,0,0.0,1.0,0,0.0,0.8375186569119147,0,0.0
20.0,2,3.0,0.42857142857142855,5.7886010914181,7,1,1.0,0.08064423164374902,0,0.0,0.9070054954842808,0,0.0,0.6020952968201625,1,2.0,0.43674335811610415,2,3.0
25.0,3,11.0,1.2222222222222223,5.344907338071052,9,0,0.0,0.7993423490019276,0,0.0,0.9866261948320038,1,0.0,0.46062770106346934,2,11.0,0.11803059549832559,3,11.0
30.0,4,28.0,2.8,5.503159754458996,10,0,0.0,0.9363311027038249,1,4.0,0.473247291109801,0,0.0,0.4021080785172262,3,26.0,0.22681140060111674,4,30.0
35.0,5,45.0,3.75,5.0881029271377045,12,1,1.0,0.05838170855704184,0,2.0,0.949555365238173,1,3.0,0.6951222034964063,3,41.0,0.11583379581247008,5,47.0
40.0,6,58.0,4.142857142857143,4.064115073970663,14,2,6.0,0.28314836462802895,0,2.0,0.008142827838327746,1,8.0,0.47059145985049494,3,44.0,0.1065410646817376,6,60.0
45.0,8,95.0,6.333333333333333,4.813150544757702,15,1,11.0,0.5723821533375827,1,9.0,0.45878349725724177,3,20.0,0.225017040186766,3,59.0,0.23688143249810367,8,99.0
50.0,8,135.0,8.4375,4.449590589848729,16,1,16.0,0.37211015297745204,1,14.0,0.3792261526660338,3,35.0,0.30153905864638986,3,74.0,0.15405788439814116,8,139.0
55.0,10,171.0,9.5,3.795345749580669,18,2,26.0,0.04710104021535358,1,17.0,0.4068813759339455,3,38.0,0.2874237313277779,4,92.0,3.1599843967052366e-06,10,173.0
60.0,8,201.0,10.578947368421053,5.664671702341534,19,2,31.0,0.4562012655758853,1,22.0,0.6455868617889805,2,48.0,0.2931361493936617,3,104.0,0.0,8,205.0
65.0,10,246.0,12.3,5.568044484455614,20,2,41.0,0.48342884783688245,2,30.0,0.46152864809069455,3,64.0,0.4264118219722825,3,119.0,0.14741263000898971,10,254.0
70.0,13,300.0,14.285714285714286,4.7389878034117725,21,4,53.0,0.08380117156181807,3,42.0,0.2435176086990957,3,79.0,0.45065879637246437,3,134.0,0.3892154073127129,13,308.0
75.0,13,356.0,16.181818181818183,3.956969540942747,22,2,59.0,0.5044957179750409,4,60.0,0.07744828484161087,4,96.0,0.19796114793101505,3,149.0,0.18596134922281066,13,364.0
80.0,13,395.0,17.17391304347826,3.734519787634928,23,2,71.0,0.4076233791668041,3,68.0,0.22999417072609363,4,98.0,0.2570109935746781,4,168.0,0.10663035541137258,13,405.0
85.0,17,467.0,18.68,2.810971373533659,25,4,84.0,0.2635996499793852,3,83.0,0.13665332193675306,5,118.0,0.21409648904817402,5,192.0,0.06300756118124913,17,477.0
90.0,18,553.0,22.12,3.0640891207346574,25,5,108.0,0.25727533992586493,3,96.0,0.0,5,140.0,0.1297559356797218,5,217.0,0.2750241043501452,18,561.0
95.0,18,636.0,24.46153846153846,2.587302988380984,26,5,126.0,1.7081424594843116e-06,3,111.0,0.20819014913001715,5,165.0,0.24715272277036737,5,242.0,0.1933938979852155,18,644.0
100.0,21,732.0,26.142857142857142,2.6485367918007183,28,5,151.0,0.0,3,126.0,0.33968321148343544,7,191.0,0.11626096772263697,6,272.0,0.2011708770136713,21,740.0
105.0,22,838.0,28.896551724137932,2.672146986717952,29,5,176.0,0.05393082587676987,3,141.0,0.3496472596353487,7,224.0,0.2643700583582985,7,305.0,2.4933977424426456e-06,22,846.0
110.0,24,952.0,31.733333333333334,2.0282294935158114,30,5,201.0,0.1503093574567483,5,160.0,0.0212687502056013,7,259.0,0.31010347688520873,7,340.0,0.0,24,960.0
115.0,26,1074.0,33.5625,1.9130163074863564,32,5,226.0,0.2697263695121184,5,185.0,0.15403532230846717,8,296.0,0.1183417870872625,8,375.0,0.07200815611769412,26,1082.0
120.0,27,1205.0,36.515151515151516,1.8490551423154957,33,5,251.0,0.1757793782624628,5,210.0,0.1540369435650086,10,342.0,0.08578985822904678,7,410.0,0.1740497081366249,27,1213.0
125.0,18,591.0,16.885714285714286,3.2203529184594193,35,2,150.0,0.24745384778165516,3,88.0,0.23358439314210067,10,392.0,0.08705634059315719,3,314.0,0.34633839663368765,18,944.0
130.0,16,546.0,14.756756756756756,5.372956814756043,37,1,48.0,0.36269551567806074,3,54.0,0.5624515917620055,10,442.0,0.1473070649130139,2,80.0,0.3476356992139566,16,624.0
135.0,18,632.0,16.63157894736842,6.026288619788453,38,2,14.0,0.09493513168727558,3,69.0,0.6240295771140242,10,492.0,0.27598367726785344,3,63.0,0.3991823002853451,18,638.0
140.0,20,714.0,19.2972972972973,4.1172819600242585,37,1,7.0,0.5049189381168028,5,89.0,0.3132071737157705,10,542.0,0.158827106241986,4,80.0,0.16852186611878928,20,718.0
145.0,27,831.0,21.307692307692307,3.2416435915210586,39,1,12.0,0.44769842310659,7,117.0,0.0010416641955767086,13,601.0,0.057123643463329155,6,105.0,0.12385899051740419,27,835.0
150.0,28,968.0,25.473684210526315,2.7449921192723643,38,2,19.0,0.25492852610061084,7,152.0,0.0,13,666.0,0.0701117683692363,6,135.0,0.21643797128987635,28,972.0
155.0,28,1102.0,30.61111111111111,1.4421432060642674,36,1,24.0,0.29291599722590195,7,187.0,0.0,14,732.0,4.276674734822759e-05,6,165.0,0.20708435747761111,28,1108.0
160.0,24,1120.0,29.473684210526315,2.653724735723274,38,2,27.0,0.36677980588203457,6,188.0,0.20669853327869536,14,802.0,0.06107059113137947,2,144.0,0.21479146657921702,24,1161.0
165.0,23,1235.0,31.666666666666668,4.456762066899993,39,1,34.0,0.6862573307457892,6,218.0,0.16041409701633366,14,874.0,0.21417106827492316,2,119.0,0.34260082093863137,23,1245.0
