step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.671365420111522,24,0,0.0,0.9313153548551236,0,0.0,0.8932281645597313,0,0.0,0.870371544357905,0,0.0,0.8911106891994068,0,0.0
10.0,0,0.0,0.0,12.438458055901373,24,0,0.0,0.8297843545378636,0,0.0,0.9191006913854123,0,0.0,0.8931978736069907,0,0.0,0.9082368030663314,0,0.0
15.0,5,7.0,0.2916666666666667,6.668138202945513,24,3,5.0,0.19668369105333333,0,0.0,0.43213743823508777,1,1.0,0.24933820419783087,1,1.0,0.6819989979491845,5,7.0
20.0,14,64.0,2.6666666666666665,5.470494659510376,24,4,24.0,0.31621203071690523,4,15.0,0.30742575046519516,3,14.0,0.2317582816701835,3,11.0,0.39771199343976776,14,64.0
25.0,14,127.0,5.521739130434782,3.524751755489524,23,3,35.0,0.09887850219668806,4,35.0,0.0,3,29.0,0.0,4,28.0,0.004728370877560067,14,127.0
30.0,17,209.0,9.5,3.087833746039412,22,5,57.0,0.00021285815442490148,4,57.0,0.19000375371787778,3,44.0,0.0,5,53.0,3.4116564974190225e-06,17,211.0
35.0,16,275.0,15.277777777777779,0.9938082984861042,18,5,82.0,0.0,3,58.0,0.22875689041003155,3,59.0,0.0,5,78.0,0.0,16,277.0
40.0,15,343.0,19.055555555555557,1.039966724646754,18,4,95.0,0.0,3,73.0,0.002516344309171568,3,74.0,0.0,5,103.0,0.0,15,345.0
45.0,16,423.0,23.5,1.4939320218438121,18,4,115.0,0.0,4,93.0,1.9562542176983813e-06,3,89.0,0.0,5,128.0,0.0,16,425.0
50.0,16,503.0,29.58823529411765,0.8167793749332075,17,4,135.0,0.0,4,113.0,0.0,3,104.0,0.0,5,153.0,0.0,16,505.0
55.0,13,469.0,29.3125,0.8691377146087926,16,1,80.0,0.0892536944272067,4,133.0,0.0,3,119.0,2.0513940914732854e-06,5,178.0,0.0,13,510.0
60.0,8,319.0,19.9375,4.2203206121022685,16,1,46.0,0.0,4,155.0,0.17138140938968557,1,86.0,0.3889864648714099,2,118.0,0.13691954020063993,8,405.0
65.0,8,359.0,22.4375,6.421176331284186,16,1,51.0,0.0,4,175.0,0.23209002984509852,1,51.0,0.6517975600503503,2,90.0,0.3185523766230898,8,367.0
70.0,9,401.0,26.733333333333334,4.625825305150149,15,1,56.0,0.0,5,197.0,0.15010371791825808,1,56.0,0.3286805821154707,2,100.0,0.3180884273577141,9,409.0
75.0,9,446.0,34.30769230769231,3.042001187467814,13,1,61.0,0.0,5,222.0,0.10102544399083689,1,59.0,0.0,2,108.0,0.0,9,450.0
80.0,10,493.0,37.92307692307692,3.276726932950937,13,1,66.0,0.0,6,249.0,5.5234518032290174e-05,1,64.0,0.0,2,118.0,0.0,10,497.0
85.0,9,536.0,48.72727272727273,1.7824182631384466,11,1,71.0,0.0,5,272.0,0.0,1,69.0,0.0,2,128.0,0.0,9,540.0
90.0,9,581.0,58.1,0.9200376325063349,10,1,76.0,0.0,5,297.0,0.0,1,74.0,0.0,2,138.0,0.0,9,585.0
95.0,9,626.0,62.6,0.9210509536284894,10,1,81.0,0.0,5,322.0,0.0,1,79.0,0.0,2,148.0,0.0,9,630.0
100.0,9,671.0,67.1,0.9625288353380688,10,1,86.0,0.0,5,347.0,0.0,1,84.0,0.0,2,158.0,0.0,9,675.0
105.0,9,716.0,79.55555555555556,0.0,9,1,91.0,0.0,5,372.0,0.0,1,89.0,0.0,2,168.0,0.0,9,720.0
110.0,9,761.0,84.55555555555556,0.0,9,1,96.0,0.0,5,397.0,0.0,1,94.0,0.0,2,178.0,0.0,9,765.0
115.0,9,806.0,89.55555555555556,0.0,9,1,101.0,0.0,5,422.0,0.0,1,99.0,0.0,2,188.0,0.0,9,810.0
120.0,9,851.0,94.55555555555556,0.0,9,1,106.0,0.0,5,447.0,0.0,1,104.0,0.0,2,198.0,0.0,9,855.0
125.0,5,538.0,59.77777777777778,1.8782386953463606,9,1,111.0,0.0,1,272.0,0.11960436753096125,1,109.0,0.0,2,208.0,0.0,5,700.0
130.0,5,563.0,62.55555555555556,5.36815110456622,9,1,118.0,0.4512295230622955,1,115.0,0.0,1,114.0,0.0,2,218.0,0.0,5,565.0
135.0,5,588.0,65.33333333333333,5.629784984827181,9,1,123.0,0.4765050652717611,1,120.0,0.0,1,119.0,0.0,2,228.0,0.0,5,590.0
140.0,5,613.0,102.16666666666667,0.27331117405702504,6,1,128.0,0.0720851033789533,1,125.0,0.0,1,124.0,0.0,2,238.0,0.0,5,615.0
145.0,5,514.0,25.7,10.240064253586837,20,2,138.0,0.6666684488438003,1,130.0,0.8,0,0.0,1.0,2,248.0,0.6,5,516.0
150.0,5,539.0,17.966666666666665,10.718584241929898,30,2,150.0,0.7214609796035298,1,135.0,0.814540670079077,0,0.0,0.9290075387973036,2,258.0,0.6752309745947956,5,543.0
155.0,5,564.0,18.8,8.770045385980701,30,2,160.0,0.5790947526592709,1,140.0,0.6528217140784116,0,0.0,0.765017272687427,2,268.0,0.5258426137734719,5,568.0
160.0,18,613.0,20.433333333333334,4.170078893276405,30,6,176.0,0.23397984551498227,5,152.0,0.2731507637464781,2,3.0,0.26321509523457964,5,284.0,0.2001164964563744,18,615.0
165.0,18,703.0,23.433333333333334,5.052935746242721,30,6,206.0,0.34804741865243133,5,177.0,0.26924180805338993,2,13.0,0.306667390418247,5,309.0,0.16040983955797214,18,705.0
170.0,17,782.0,26.96551724137931,4.257626933693486,29,6,236.0,0.2513662369005842,4,191.0,0.034081066231903226,2,23.0,0.3169935810195882,5,334.0,0.09610228526331711,17,784.0
175.0,18,825.0,31.73076923076923,2.357964759734458,26,6,251.0,0.07594235798068957,5,214.0,7.458553189608766e-05,1,15.0,0.13717527249514702,6,361.0,0.0002921495231131912,18,841.0
180.0,20,919.0,36.76,2.706243869178212,25,8,285.0,0.0001379177096467277,5,241.0,0.14169361853510817,1,6.0,0.0,6,393.0,0.14118013378145375,20,925.0
185.0,19,1006.0,43.73913043478261,1.7903930346128945,23,8,325.0,0.0,4,253.0,0.1548748042737418,1,11.0,0.0,6,423.0,0.09294107366119457,19,1012.0
190.0,19,1081.0,49.13636363636363,0.9837052452090137,22,6,350.0,0.024035943321912775,5,277.0,0.07060886154144805,1,16.0,0.0,7,455.0,0.00012520011309420076,19,1098.0
195.0,19,1176.0,53.45454545454545,1.6742065734827563,22,6,371.0,0.0,5,302.0,0.1521268073765276,1,21.0,0.0,7,490.0,0.0,19,1184.0
200.0,19,1271.0,60.523809523809526,1.0176739935141104,21,6,401.0,0.0,5,327.0,0.09155206528093607,1,26.0,0.0,7,525.0,0.0,19,1279.0
