step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.109344105964507,0,0.0,0.9514702516593575,0,0.0,0.9466522316537266,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9565812438274911,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9536968176020545,0,0.0,0.9601289885781834,0,0.0,0.9507930348239215,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9507415646983928,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.28634904958724,0,0.0,0.9544209162511393,0,0.0,0.9495156471593886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9007395020756471,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9557421202410341,0,0.0,0.9618179828941614,0,0.0,0.9526292048684103,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9535075012892764,0,0.0,1.0,0,0.0
15.0,1,2.0,0.05,11.452336468337439,0,0.0,0.7547226272963037,0,0.0,0.9666733871357579,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6280709136520167,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9592676987235218,0,0.0,0.953667553576686,0,0.0,0.7675715112386503,0,0.0,0.9524980852750755,0,0.0,0.9504270493623778,0,0.0,0.962687852507434,0,0.0,0.639245242267573,0,0.0,1.0,1,2.0
20.0,12,37.0,0.6607142857142857,9.885547892665224,3,11.0,0.6637748230146988,0,0.0,0.7498100753431565,0,0.0,1.0,0,0.0,1.0,3,10.0,0.45740723214679396,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9433072054134612,0,0.0,0.948119295284364,3,8.0,0.5695227883097524,0,0.0,0.9326472120300816,0,0.0,0.9592998210925799,0,0.0,0.9422827882820527,3,8.0,0.5050643282409408,0,0.0,1.0,12,37.0
25.0,19,116.0,1.6111111111111112,8.722732089507,4,29.0,0.5425929898286864,2,6.0,0.5209647633878264,0,0.0,0.9590234661206732,0,0.0,0.962687852507434,4,28.0,0.3895578599413396,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9579380228299228,0,0.0,0.8057313806347774,5,27.0,0.5945509224512064,0,0.0,0.889281658933026,0,0.0,0.959420260415765,0,0.0,0.9478782325804926,4,26.0,0.45280006063117967,0,0.0,1.0,19,116.0
30.0,28,225.0,2.8125,7.180508386795443,6,57.0,0.4691276541399865,0,2.0,0.5624697888296121,0,0.0,0.9402722157781426,0,0.0,0.9422827882820527,7,56.0,0.27433400181368345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9428187815756482,2,5.0,0.5761053326884975,5,52.0,0.45214794089994736,2,6.0,0.25875938714184826,0,0.0,0.9558802142478106,0,0.0,0.950707864991074,6,53.0,0.3937131232441487,0,0.0,1.0,28,231.0
35.0,28,291.0,3.03125,7.386963695541127,8,93.0,0.4335684453149557,0,0.0,0.947569679425709,0,0.0,0.9257198079299226,0,0.0,0.9478782325804926,8,92.0,0.2998432653470415,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9565116018975723,0,0.0,0.9423694638726458,0,1.0,0.6800898837037233,2,43.0,0.4003988637693581,2,18.0,0.6206770299969686,0,0.0,0.9437084552234118,0,2.0,0.436458288012252,8,88.0,0.3146634142601288,0,0.0,1.0,28,337.0
40.0,35,445.0,3.9732142857142856,8.071156605892062,10,138.0,0.4171434711981191,0,0.0,0.9533941877465892,0,0.0,0.9923954781312186,0,0.0,0.950707864991074,10,138.0,0.3250448276336869,0,0.0,1.0,0,0.0,0.9323966029108939,0,0.0,0.9541624559839534,0,0.0,0.9607701110971597,0,0.0,0.9668462025728621,3,18.0,0.5681102205883695,2,30.0,0.7530045578924923,0,0.0,0.6333503303234582,0,4.0,0.9407429092710062,10,135.0,0.20820322439164765,0,0.0,1.0,35,463.0
45.0,41,591.0,4.925,6.6884239020949945,12,192.0,0.2806738939245513,0,0.0,0.6834762263167375,0,0.0,0.945372916603015,0,0.0,1.0,11,191.0,0.1853617735253781,0,0.0,1.0,0,0.0,0.9187694105973672,0,0.0,0.9722261230237574,0,0.0,0.8343370879808317,0,0.0,0.9537955387743673,4,22.0,0.41384797597796436,0,9.0,0.5996679909240157,2,8.0,0.5214528217306399,0,4.0,0.9393338398676827,12,196.0,0.19335974578592888,0,2.0,0.37056748709964243,41,624.0
50.0,46,639.0,4.698529411764706,6.219784750340899,7,179.0,0.3344218852105375,2,7.0,0.5376146019535015,1,5.0,0.272158764841063,0,0.0,0.9333327404576196,14,257.0,0.1310533032064908,0,0.0,1.0,1,2.0,0.35880827597407994,0,0.0,0.9376682778862955,1,3.0,0.7593019656515191,0,0.0,0.9504697296830467,6,42.0,0.4178609912961325,1,5.0,0.39938381853166344,0,3.0,0.33260824381725607,0,0.0,0.9342397971916363,13,260.0,0.30398154094859875,0,2.0,0.8156322397665857,46,765.0
