step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.928187630228392,0,0.0,0.9571858879700107,0,0.0
10.0,0,0.0,0.0,13.032704479792034,0,0.0,0.883001050921723,0,0.0
15.0,2,6.0,0.5,10.339377447051278,2,6.0,0.7023070399041339,2,6.0
20.0,3,21.0,1.3125,9.315661749885411,3,21.0,0.6102815735395541,3,21.0
25.0,7,48.0,2.6666666666666665,6.047223913846545,7,48.0,0.40478818032450903,7,48.0
30.0,10,95.0,4.523809523809524,4.76313696777882,10,95.0,0.24232772200534036,10,95.0
35.0,8,54.0,2.5714285714285716,3.3237810888432517,8,108.0,0.12736885592888636,8,108.0
40.0,2,6.0,0.2857142857142857,6.834659865585231,2,67.0,0.28826506966955584,2,67.0
45.0,0,0.0,0.0,11.759909175571925,0,24.0,0.6764817331979848,0,24.0
50.0,0,0.0,0.0,12.579643087351167,0,3.0,0.8716004827764454,0,3.0
55.0,0,0.0,0.0,11.640535812238957,0,0.0,0.8156916779594168,0,0.0
60.0,1,2.0,0.08333333333333333,11.19772191890165,1,2.0,0.8714081923694107,1,2.0
65.0,2,9.0,0.4090909090909091,9.226669856763676,2,9.0,0.6075180451917374,2,9.0
70.0,6,32.0,1.4545454545454546,6.81098737445096,6,32.0,0.4099306083775472,6,32.0
75.0,12,82.0,4.1,3.23628338390145,12,82.0,0.07652266369147993,12,82.0
80.0,16,157.0,7.476190476190476,3.240016023238156,16,157.0,0.15105086299812254,16,157.0
85.0,16,237.0,10.304347826086957,3.5224466686319853,16,237.0,0.21899947888387358,16,237.0
90.0,18,324.0,12.0,4.167744833068703,18,324.0,0.26445402775980664,18,324.0
95.0,14,239.0,7.709677419354839,4.297938133434245,14,345.0,0.2502649122123431,14,345.0
100.0,10,60.0,1.7647058823529411,5.006454454787159,10,296.0,0.24035486375469275,10,296.0
105.0,6,29.0,0.7837837837837838,6.409237346458463,6,189.0,0.2610472080633659,6,189.0
110.0,3,35.0,0.9722222222222222,7.368186191679474,3,121.0,0.34537806653874553,3,121.0
115.0,4,53.0,1.5588235294117647,8.367007790606731,4,79.0,0.48616625751380155,4,79.0
120.0,2,4.0,0.125,8.306272102988233,2,48.0,0.5028235200472618,2,48.0
125.0,7,25.0,0.78125,6.9142261665922575,7,46.0,0.3667696334784964,7,46.0
130.0,15,83.0,2.7666666666666666,4.300724580227257,15,104.0,0.18328641406520232,15,104.0
135.0,20,174.0,6.214285714285714,2.514149579290115,20,195.0,0.11366534001865428,20,195.0
140.0,24,287.0,9.89655172413793,1.8475196132089835,24,308.0,0.07531463992840036,24,308.0
145.0,25,411.0,12.84375,2.3792030192861624,25,432.0,0.148544200800887,25,432.0
150.0,27,542.0,15.941176470588236,2.2825352454246524,27,563.0,0.13832061860252873,27,563.0
