(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[4.95, 0, 0, 0]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.95, 50, 50, 50]
(0, 0.0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0);[49.95, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0);[49.945, 50, 50, 50]
(0, 1.0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0);[49.924, 50, 50, 50]
(0, 1.0, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1);[49.92, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, 1);[49.917, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 2, 1, 4, 1, 0, 0, 0, 0, 0, 0, 2, 1);[49.911, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 1, 2, 4, 2, 0, 0, 0, 0, 0, 0, 3, 1);[49.895, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 0, 2, 5, 2, 0, 0, 0, 0, 0, 1, 4, 1);[49.876, 50, 50, 50]
(0, 1.0, 1, 0, 0, 0, 2, 2, 5, 2, 0, 0, 0, 0, 0, 1, 4, 1);[50, 50, 50, 49.897]
(3, 0.0, 1, 0, 0, 0, 2, 2, 6, 2, 0, 0, 0, 0, 0, 2, 5, 0);[49.908, 50, 50, 50]
(3, 0.0, 2, 0, 0, 0, 2, 2, 6, 1, 0, 0, 0, 0, 1, 2, 5, 0);[49.838, 50, 50, 50]
(3, 1.0, 3, 0, 0, 0, 3, 3, 6, 0, 1, 0, 0, 0, 2, 2, 6, 0);[49.848, 50, 50, 50]
(0, 0.0, 3, 0, 0, 0, 3, 3, 6, 1, 1, 0, 0, 0, 1, 2, 6, 0);[49.893, 50, 50, 50]
(0, 0.0, 2, 0, 0, 0, 2, 3, 6, 1, 0, 0, 0, 0, 0, 3, 6, 0);[49.869, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 2, 3, 7, 1, 0, 0, 0, 0, 0, 3, 6, 0);[49.841, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 2, 4, 7, 1, 0, 0, 0, 0, 0, 3, 7, 1);[49.835, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 3, 4, 8, 1, 0, 0, 0, 0, 0, 3, 7, 1);[49.828, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 2, 4, 9, 1, 0, 0, 0, 0, 0, 4, 8, 1);[49.812, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 3, 4, 9, 1, 0, 0, 0, 0, 0, 4, 9, 1);[49.801, 50, 50, 50]
(0, 1.0, 1, 0, 0, 0, 2, 5, 9, 1, 0, 0, 0, 0, 0, 4, 9, 1);[49.797, 50, 50, 50]
(0, 1.0, 1, 0, 0, 0, 1, 5, 9, 1, 0, 0, 0, 0, 0, 4, 9, 1);[49.791, 50, 50, 50]
